PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1605815.00;1.000;19; ;TÉCNICO EN APOYO A DIRECCIÓN DE SEDE                                                                                                                                                                                                                            
PROFESOR INSTRUCTOR                    ;331495.50;0.250;9; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;213858.50;0.250;1; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;855434.00;1.000;8; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2581852.00;1.000;18; ;PROFESIONAL EN PROMOCIÓN DE LA SALUD                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO C;1463966.00;1.000;18; ;BAILARÍN                                                                                                                                                                                                                                                        
TECNICO ASISTENCIAL A;1148760.00;1.000;19; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO B;1367971.00;1.000;18; ;TÉCNICO EN DISEÑO GRÁFICO                                                                                                                                                                                                                                       
DIRECTOR CENTRO INVESTIGACION;1290021.00;1.000;6; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1605815.00;1.000;19; ;TÉCNICO COORDINADOR DE MANTENIMIENTO                                                                                                                                                                                                                            
PROFESOR INSTRUCTOR                    ;492529.00;0.250;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;314878.45;0.375;0; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;446390.80;0.371;13; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1148760.00;1.000;19; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ASISTENCIAL B;1219335.00;1.000;19; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
TECNICO ASISTENCIAL B;1184047.50;1.000;19; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
PROFESOR INSTRUCTOR                    ;212309.55;0.125;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1771976.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1877656.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2401488.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1767622.00;1.000;19; ;PROFESIONAL EN EJECUCIÓN CONTRACTUAL                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;174238.60;0.200;5; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2041785.00;1.000;18; ;PROFESIONAL EN REFERENCIA BIBLIOGRÁFICA                                                                                                                                                                                                                         
TECNICO ASISTENCIAL A;1148760.00;1.000;19; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESIONAL B;2615923.00;1.000;19; ;PROFESIONAL EN DESARROLLO Y MANTENIMIENTO DE TECNOLOGÍAS DE INFORMACIÓN                                                                                                                                                                                         
PROFESIONAL B;1972272.00;1.000;15; ;PROFESIONAL ENCARGADO DEL PROGRAMA INTEGRAL PARA LA PERSONA ADULTA MAYOR                                                                                                                                                                                        
PROFESOR EXBECARIO DOCTORADO           ;2387548.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2353730.00;1.000;19; ;PROFESIONAL EN ORIENTACIÓN CASE                                                                                                                                                                                                                                 
TECNICO ESPECIALIZADO B;1367971.00;1.000;19; ;TÉCNICO EN SERVICIOS DE LABORATORIO                                                                                                                                                                                                                             
PROFESOR ASOCIADO                      ;3209735.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1367971.00;1.000;18; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
TECNICO ASISTENCIAL B;1219335.00;1.000;19; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES DE SEDE                                                                                                                                                                                                      
TECNICO ESPECIALIZADO D;1083194.00;1.000;16; ;TÉCNICO DE LABORATORIO EN MICROBIOLOGÍA                                                                                                                                                                                                                         
TECNICO ASISTENCIAL A;1269090.00;1.000;19; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INSTRUCTOR                    ;1751004.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1501709.00;1.000;6; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1114922.00;1.000;19; ;REPRODUCTOR DE DOCUMENTOS Y MATERIAL AUDIOVISUAL                                                                                                                                                                                                                
PROFESOR INTERINO LICENCIADO           ;805310.00;0.500;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;641575.50;0.750;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;604366.50;0.500;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;276410.75;0.250;2; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO C;1463966.00;1.000;19; ;TÉCNICO EN EDUCACIÓN PREESCOLAR                                                                                                                                                                                                                                 
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;0; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;315492.75;0.319;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2534905.50;1.000;19; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1168815.00;1.000;19; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO D;1858027.00;1.000;17; ;TÉCNICO COORDINADOR DE OPERACIONES DE PRODUCCIÓN TELEVISIVA                                                                                                                                                                                                     
TECNICO ESPECIALIZADO D;1098449.00;1.000;18; ;CAMARÓGRAFO                                                                                                                                                                                                                                                     
TECNICO ESPECIALIZADO B;1367971.00;1.000;19; ;TÉCNICO EN ASISTENCIA DENTAL                                                                                                                                                                                                                                    
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;9; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1367971.00;1.000;19; ;TÉCNICO EN ASIGNACIÓN DE BECAS DE ESTÍMULO                                                                                                                                                                                                                      
TRABAJADOR OPERATIVO B;1066877.00;1.000;19; ;CONSERJE E INSTALADOR DE ESTRUCTURAS MÓVILES                                                                                                                                                                                                                    
TECNICO ASISTENCIAL A;1228980.00;1.000;19; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              
TECNICO ASISTENCIAL A;1168815.00;1.000;19; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESIONAL A;1963153.00;1.000;19; ;COORDINADOR DE SERVICIOS GENERALES DE SEDE                                                                                                                                                                                                                      
TECNICO ASISTENCIAL A;1148760.00;1.000;19; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO C;1463966.00;1.000;18; ;TÉCNICO EN ARCHIVÍSTICA                                                                                                                                                                                                                                         
TRABAJADOR OPERATIVO A;1059597.00;1.000;19; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
TECNICO ESPECIALIZADO D;1605815.00;1.000;19; ;ENCARGADO DE SERVICIOS ADMINISTRATIVOS DE CENTRO                                                                                                                                                                                                                
PROFESOR ASOCIADO                      ;2700647.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;419838.00;0.500;7; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;743446.50;0.500;19; ;TÉCNICO EN GRABACIÓN Y SONIDO RADIOFÓNICO                                                                                                                                                                                                                       
PROFESIONAL B;2691918.00;1.000;18; ;PROFESIONAL EN ORIENTACIÓN CASE                                                                                                                                                                                                                                 
PROFESOR INSTRUCTOR                    ;213547.55;0.125;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;293378.05;0.125;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;386548.25;0.250;17; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1929248.00;1.000;19; ;PROFESIONAL COORDINADOR A DE BIBLIOTECA                                                                                                                                                                                                                         
PROFESOR INSTRUCTOR                    ;213635.40;0.125;17; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO A;1229800.50;1.000;19; ;TÉCNICO EN GESTIÓN DE POSGRADOS A                                                                                                                                                                                                                               
TECNICO ESPECIALIZADO D;1412575.00;1.000;18; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESIONAL A;1544248.00;1.000;17; ;JEFATURA ADMINISTRATIVA A DE ESCUELA                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;1102402.50;0.750;17; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1586801.00;1.000;18; ;JEFATURA ADMINISTRATIVA DE OFICINA                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO D;1246816.00;1.000;18; ;TÉCNICO ESPECIALIZADO EN ENSAYOS DE INFRAESTRUCTURAS CIVIL Y VIAL                                                                                                                                                                                               
TECNICO ASISTENCIAL B;1198059.00;1.000;18; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
PROFESOR INV. II AÑO SEP-CONARE AS ASOC;2123207.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1033176.30;0.875;9; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1605815.00;1.000;18; ;NULL
PROFESIONAL B;2732917.00;1.000;18; ;PROFESIONAL GESTOR DE PROYECTOS DE INVESTIGACIÓN                                                                                                                                                                                                                
TECNICO ASISTENCIAL A;1148760.00;1.000;18; ;ASISTENTE EN ARCHIVÍSTICA                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;157439.20;0.188;1; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1219335.00;1.000;18; ;PENDIENTE                                                                                                                                                                                                                                                       
SUBCONTRALOR;4095937.00;1.000;18; ;SUBCONTRALOR UNIVERSITARIO                                                                                                                                                                                                                                      
TRABAJADOR OPERATIVO B;1066877.00;1.000;18; ;CONSERJE                                                                                                                                                                                                                                                        
TRABAJADOR OPERATIVO B;1066877.00;1.000;18; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESIONAL A;794227.50;1.000;7; ;PROFESIONAL EN SALUD OCUPACIONAL                                                                                                                                                                                                                                
TECNICO ESPECIALIZADO B;1176263.00;1.000;14; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESIONAL A;1590821.50;1.000;17; ;PROFESIONAL EN REFERENCIA BIBLIOGRÁFICA                                                                                                                                                                                                                         
PROFESOR INSTRUCTOR                    ;2081424.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;2712855.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;104959.45;0.125;7; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;2941836.00;1.000;18; ;PROFESIONAL EN ASESORÍA LEGAL                                                                                                                                                                                                                                   
PROFESIONAL C;2714123.00;1.000;18; ;PROFESIONAL EN ASESORÍA JURÍDICA INSTITUCIONAL                                                                                                                                                                                                                  
TECNICO ASISTENCIAL B;1219335.00;1.000;18; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
PROFESIONAL B;2615923.00;1.000;18; ;PROFESIONAL EN ARQUITECTURA DE SERVICIOS GENERALES                                                                                                                                                                                                              
TRABAJADOR OPERATIVO C;1512521.00;1.000;18; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TRABAJADOR OPERATIVO C;1710629.00;1.000;18; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO D;1633839.00;1.000;18; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
TECNICO ASISTENCIAL A;80582.90;1.000;19;MES INCOMPLETO;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESIONAL B;2767914.00;1.000;18; ;PROFESIONAL EN ORIENTACIÓN ESTUDIANTIL DE SEDE                                                                                                                                                                                                                  
TECNICO ASISTENCIAL A;1148760.00;1.000;18; ;ENCARGADO DE EQUIPO AUDIOVISUAL E INSTALACIONES                                                                                                                                                                                                                 
PROFESOR INVITADO II AÑO, EXBEC.DOCTOR ;2623737.00;1.000;12; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1512521.00;1.000;18; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESIONAL D;3774076.00;1.000;18; ;PROFESIONAL COORDINADOR DE AUDITORÍAS COMPLEJAS                                                                                                                                                                                                                 
PROFESIONAL B;3314885.00;1.000;18; ;PROFESIONAL EN ORIENTACIÓN ESTUDIANTIL DE SEDE                                                                                                                                                                                                                  
PROFESIONAL B;1976551.00;1.000;11; ;PROFESIONAL EN GEOGRAFÍA                                                                                                                                                                                                                                        
PROFESOR ASOCIADO                      ;2426473.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1605815.00;1.000;18; ;TÉCNICO ESPECIALIZADO EN ENSAYOS DE INFRAESTRUCTURAS CIVIL Y VIAL                                                                                                                                                                                               
TECNICO ASISTENCIAL B;1900235.00;1.000;18; ;ENCARGADO DE ARMERÍA INSTITUCIONAL                                                                                                                                                                                                                              
TRABAJADOR OPERATIVO B;1066877.00;1.000;18; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;1036759.00;1.000;13; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;1040236.00;0.500;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;106929.20;0.125;2; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;163240.70;0.125;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;436126.40;0.563;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;184794.90;0.125;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;379184.00;0.250;6; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2447818.00;1.000;16; ;PROFESIONAL EN ELABORACIÓN DE INDICADORES DE GESTIÓN ADMINISTRATIVA                                                                                                                                                                                             
TECNICO ASISTENCIAL A;1130623.00;1.000;18; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;1854033.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1367971.00;1.000;18; ;TÉCNICO EN APOYO A ADMISIÓN Y MATRÍCULA                                                                                                                                                                                                                         
TECNICO ESPECIALIZADO B;1235577.00;1.000;15; ;TÉCNICO EN SERVICIOS MULTIMEDIA                                                                                                                                                                                                                                 
PROFESIONAL B;1816616.00;1.000;13; ;PROFESIONAL EN APOYO A LA INVESTIGACIÓN DE LANAMME                                                                                                                                                                                                              
TECNICO ESPECIALIZADO B;1367971.00;1.000;18; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
PROFESOR INSTRUCTOR                    ;1647278.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO;1759302.00;1.000;18; ;PROFESIONAL EN PROGRAMAS DEPORTIVOS Y RECREATIVOS DE SEDE                                                                                                                                                                                                       
TECNICO ASISTENCIAL B;846025.00;1.000;17; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESIONAL B;2279796.00;1.000;17; ;PROFESIONAL EN PERIODISMO                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;1167879.00;1.000;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;968985.00;1.000;5; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;220086.50;0.125;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR EXBECARIO DOCTORADO           ;2654410.00;1.000;13; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1145876.50;0.500;17; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;1994650.00;1.000;15; ;PROFESIONAL EN INFRAESTRUCTURA CIVIL Y VIAL                                                                                                                                                                                                                     
PROFESOR INTERINO;2678474.50;1.250;8; ;DIRECTOR(A) DEL CANAL UCR                                                                                                                                                                                                                                       
DECANO;2970029.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;320787.70;0.375;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1389820.15;1.000;9; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2435827.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;106929.20;0.125;1; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1308059.00;1.000;18; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
PROFESOR ADJUNTO                       ;2001789.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;214361.40;0.125;17; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1844225.00;1.000;18; ;PROFESIONAL EN REFERENCIA BIBLIOGRÁFICA                                                                                                                                                                                                                         
PROFESOR INSTRUCTOR                    ;2150088.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;2364558.00;1.000;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;952339.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1036760.00;1.000;8; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1605815.00;1.000;18; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESIONAL A;2076272.00;1.000;17; ;PROFESIONAL COORDINADOR A DE BIBLIOTECA                                                                                                                                                                                                                         
TECNICO ESPECIALIZADO D;1605815.00;1.000;18; ;ENCARGADO DE TRÁMITES DE RECURSOS HUMANOS DE SEDE                                                                                                                                                                                                               
PROFESOR CATEDRATICO                   ;3635282.50;1.250;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;918160.85;1.000;5; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;2001250.90;1.000;18; ;PROFESIONAL EN ASESORÍA JURÍDICA INSTITUCIONAL                                                                                                                                                                                                                  
PROFESIONAL B;2410933.00;1.000;18; ;PROFESIONAL EN PRODUCCIÓN INFORMÁTICA                                                                                                                                                                                                                           
PROFESOR INTERINO LICENCIADO           ;734935.00;0.500;21; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;505145.50;0.500;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;471911.50;0.500;5; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;0; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO;1256161.50;1.000;12; ;PROFESIONAL EN APOYO A LA REGENCIA QUÍMICA INSTITUCIONAL                                                                                                                                                                                                        
PROFESOR CATEDRATICO                   ;2594638.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1563512.00;1.000;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;320787.70;0.375;1; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO;1395550.50;1.000;13; ;PROFESIONAL EN DISEÑO DE SITIOS WEB                                                                                                                                                                                                                             
PROFESOR INTERINO LICENCIADO           ;1416966.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1952717.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;399928.05;0.375;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1176536.25;0.867;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;299132.60;0.250;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;0; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2324828.00;1.000;14; ;PROFESIONAL EN ARQUITECTURA DE SERVICIOS GENERALES                                                                                                                                                                                                              
TECNICO ESPECIALIZADO C;1426938.00;1.000;18; ;TÉCNICO EN ACTIVOS FIJOS                                                                                                                                                                                                                                        
PROFESIONAL C;2163681.00;1.000;13; ;PROFESIONAL EN DISEÑO ARQUITECTÓNICO DE OEPI                                                                                                                                                                                                                    
PROFESOR INTERINO LICENCIADO           ;1153278.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;855434.00;1.000;5; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2148294.00;1.000;18; ;PROFESIONAL EN  ADMINISTRACIÓN DEL CATÁLOGO DE BIENES Y SERVICIOS                                                                                                                                                                                               
TRABAJADOR OPERATIVO B;1066877.00;1.000;18; ;CONSERJE                                                                                                                                                                                                                                                        
TRABAJADOR OPERATIVO B;1066877.00;1.000;18; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESIONAL B;1840264.00;1.000;12; ;PROFESIONAL EN CONTROL DEL SISTEMA DE GESTIÓN DE CALIDAD                                                                                                                                                                                                        
PROFESOR ASOCIADO                      ;917402.50;0.500;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;323380.50;0.250;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3563568.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO C;1463966.00;1.000;18; ;TÉCNICO EN SERVICIOS DE VIDEOTECA                                                                                                                                                                                                                               
PROFESOR INTERINO LICENCIADO           ;1017979.80;1.000;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1977829.75;1.250;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;500218.75;0.563;6; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;947672.00;0.500;18; ;PROFESIONAL EN ATENCIÓN INTEGRAL DE LA SALUD INFANTIL                                                                                                                                                                                                           
PROFESOR INTERINO LICENCIADO           ;1056450.00;0.750;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1475181.00;1.000;12; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1207878.00;1.000;18; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
PROFESIONAL A;1895344.00;1.000;17; ;PROFESIONAL EN INFORMES FINANCIEROS DE OAF                                                                                                                                                                                                                      
PROFESOR ASOCIADO                      ;1342097.25;0.750;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;503083.00;0.500;14; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;1874655.00;1.000;14; ;PROFESIONAL EN PRODUCCIÓN RADIOFÓNICA                                                                                                                                                                                                                           
PROFESOR INVITADO I AÑO, EXBEC.DOCTOR  ;1503034.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1951844.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1100074.00;1.000;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1380518.00;1.000;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;397858.80;0.400;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2257775.50;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1435052.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2390055.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;126627.20;0.125;10; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;1580005.00;1.000;11; ;PROFESIONAL EN ASESORÍA Y EVALUACIÓN CURRICULAR                                                                                                                                                                                                                 
TECNICO ASISTENCIAL A;1225954.00;1.000;18; ;OFICIAL DE TRÁNSITO                                                                                                                                                                                                                                             
PROFESOR INTERINO LICENCIADO           ;144800.05;0.125;9; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1219335.00;1.000;18; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
PROFESIONAL C;2513425.00;1.000;15; ;PROFESIONAL EN AUDITORÍA TÉCNICA                                                                                                                                                                                                                                
PROFESOR CATEDRATICO                   ;2501989.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;1717897.40;1.000;9; ;PROFESIONAL EN ASESORÍA Y EVALUACIÓN CURRICULAR                                                                                                                                                                                                                 
PROFESIONAL A;2148294.00;1.000;18; ;JEFATURA ADMINISTRATIVA A DE ESCUELA                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;673213.50;0.500;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;283889.75;0.250;10; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;1006205.50;0.500;16; ;PROFESIONAL EN TRABAJO SOCIAL CASE                                                                                                                                                                                                                              
TRABAJADOR OPERATIVO C;1512521.00;1.000;18; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;217798.25;0.250;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3945198.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;94188.40;0.063;17; ;PUESTO NO ADMINISTRATIVO
DIRECTOR INSTITUTO INVESTIGACIÓN;2502143.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;847533.00;0.500;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;638829.25;0.375;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;427717.00;0.500;2; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1219335.00;1.000;18; ;ASISTENTE DE LABORATORIO                                                                                                                                                                                                                                        
PROFESOR INSTRUCTOR                    ;457536.30;0.250;20; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2331308.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;903603.50;0.500;11; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1605815.00;1.000;18; ;ENCARGADO DE SERVICIOS ADMINISTRATIVOS DE CENTRO                                                                                                                                                                                                                
